House Number,Total Members,Male Rep.,Male Dem.,Female Rep.,Female Dem.
34,234,100,83,0,0
35,237,90,132,0,0
36,238,116,83,0,0
37,183,108,44,0,0
38,241,85,72,0,0
39,224,136,38,0,0
40,224,173,47,0,0
41,243,171,67,0,0
42,292,136,104,0,0
43,293,199,88,0,0
44,293,103,182,0,0
45,293,136,155,0,0
46,293,132,141,0,0
47,325,151,128,0,0
48,325,117,196,0,0
49,325,141,182,0,0
50,332,152,167,0,0
51,332,179,152,0,0
52,356,86,238,0,0
53,356,124,218,0,0
54,357,254,93,0,0
55,357,206,124,0,0
56,386,187,161,0,0
57,386,200,151,0,0
58,386,207,176,0,0
59,391,251,135,0,0
60,391,223,167,0,0
61,394,219,172,0,0
62,394,162,230,0,0
63,435,134,291,0,0
64,435,196,230,0,0
65,435,214,214,1,0
66,435,240,192,0,0
67,435,299,132,3,0
68,435,224,207,1,0
69,435,245,182,2,1
70,435,235,192,3,2
71,435,266,159,4,5
72,435,216,211,2,5
73,435,114,309,3,4
74,435,101,318,2,4
75,435,87,329,1,5
76,435,165,258,4,4
77,435,157,263,5,4
78,435,203,220,6,2
79,435,184,238,5,6
80,435,242,185,4,3
81,435,167,258,4,5
82,435,193,231,6,4
83,435,215,208,6,5
84,435,197,222,6,10
85,435,197,223,6,9
86,437,145,273,8,9
87,437,166,253,7,11
88,435,170,252,6,6
89,435,136,288,4,7
90,435,182,242,5,6
91,435,188,237,4,6
92,435,177,245,3,10
93,435,190,229,2,14
94,435,139,277,5,14
95,435,138,279,5,13
96,435,152,267,5,11
97,435,182,232,10,11
98,435,157,256,9,13
99,435,170,242,11,12
100,435,166,246,11,12
101,435,162,244,13,16
102,435,158,248,9,19
103,435,164,223,12,35
104,435,213,273,17,31
105,435,209,170,17,37
106,435,206,172,17,39
107,435,203,171,18,41
108,435,208,166,21,39
109,435,208,158,25,43
110,435,282,181,20,52
111,435,161,201,17,56
112,435,218,144,24,49
113,435,215,140,19,61
114,435,225,125,22,63
115,435,218,130,23,64
116,435,186,147,13,88
117,435,180,132,32,90
118,435,188,120,34,93
119,435,189,121,31,94